🕘️更新时间,#genre#
2025-06-26 06:43:19,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1

📺央视频道,#genre#
CCTV-1,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1
CCTV-1,http://8.138.7.223/tv/dl/douyincdn.php?id=1
CCTV-1,http://61.177.81.198:35455/mgtv/608807420.m3u8
CCTV-1,http://58.19.180.108:9981/stream/channelid/1198995092?profile=pass
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV-1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-1,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-2,http://smart.tv.home.kg/smtv.php?id=cctv2#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2#http://8.138.7.223/tv/dl/douyincdn.php?id=2
CCTV-2,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv2
CCTV-2,http://58.19.180.108:9981/stream/channelid/980211261?profile=pass
CCTV-2,http://61.177.81.198:35455/mgtv/631780532.m3u8
